institution_id,institution_name,area,year,pub_count,adjusted_count
https://openalex.org/I134656947,Esslingen University of Applied Sciences,powerelec,2021,1,0.33333
https://openalex.org/I4610292,Xiangtan University,powerelec,2021,1,0.33333
https://openalex.org/I67357951,KIIT University,powerelec,2021,1,0.33333
https://openalex.org/I170979836,Jadavpur University,powerelec,2021,1,0.33333
https://openalex.org/I4210086811,Islamic Azad University Sari Branch,powerelec,2021,1,0.33333
https://openalex.org/I95793202,Otto-von-Guericke-Universität Magdeburg,powerelec,2021,1,0.33333
https://openalex.org/I160993911,Queensland University of Technology,powerelec,2021,2,0.33333
https://openalex.org/I187576290,Universidade Paranaense,powerelec,2021,1,0.33333
https://openalex.org/I233745408,Pontificia Universidad Javeriana,powerelec,2021,1,0.33333
https://openalex.org/I150149174,Mercer University,powerelec,2021,1,0.33333
https://openalex.org/I73822459,National University of San Luis,powerelec,2021,1,0.33333
https://openalex.org/I223532165,University of Utah,powerelec,2021,1,0.33333
https://openalex.org/I60002142,Instituto Tecnológico de Morelia,powerelec,2021,1,0.33333
https://openalex.org/I177436651,Mahatma Gandhi University,powerelec,2021,1,0.33333
https://openalex.org/I212220629,Peter the Great St. Petersburg Polytechnic University,powerelec,2022,1,0.33333
https://openalex.org/I99297268,University of Hassan II Casablanca,powerelec,2022,1,0.33333
https://openalex.org/I197681013,Université Paris-Est Créteil,powerelec,2022,1,0.33333
https://openalex.org/I177733328,Can Tho University,powerelec,2022,1,0.33333
https://openalex.org/I123900574,Pohang University of Science and Technology,powerelec,2022,1,0.33333
https://openalex.org/I63098007,Liverpool John Moores University,powerelec,2022,1,0.33333
https://openalex.org/I48018076,Christ University,powerelec,2022,1,0.33333
https://openalex.org/I24062138,Konkuk University,powerelec,2022,1,0.33333
https://openalex.org/I4210143942,National University of Technology,powerelec,2022,1,0.33333
https://openalex.org/I141649914,Nanchang University,powerelec,2022,1,0.33333
https://openalex.org/I22299242,Kyoto University,powerelec,2022,1,0.33333
https://openalex.org/I39012071,Kyoto College of Graduate Studies for Informatics,powerelec,2022,1,0.33333
https://openalex.org/I145847075,TU Wien,powerelec,2022,1,0.33333
https://openalex.org/I67001856,Shanghai Institute of Technology,powerelec,2022,1,0.33333
https://openalex.org/I131868736,Prince of Songkla University,powerelec,2023,1,0.33333
https://openalex.org/I4210127441,Indian Institute of Technology Jammu,powerelec,2023,1,0.33333
https://openalex.org/I196051555,Shahid Chamran University of Ahvaz,powerelec,2023,1,0.33333
https://openalex.org/I41055640,Bitlis Eren University,powerelec,2023,1,0.33333
https://openalex.org/I126231945,Queen's University Belfast,powerelec,2023,1,0.33333
https://openalex.org/I108403487,Warsaw University of Technology,powerelec,2023,1,0.33333
https://openalex.org/I206597221,Kongju National University,powerelec,2023,1,0.33333
https://openalex.org/I4210147939,Universidad ORT Uruguay,powerelec,2023,1,0.33333
https://openalex.org/I119806805,Nagaoka University,powerelec,2023,1,0.33333
https://openalex.org/I4210136859,Xi’an University of Posts and Telecommunications,powerelec,2023,2,0.33333
https://openalex.org/I74525822,Hubei University of Technology,powerelec,2023,1,0.33333
https://openalex.org/I4921948,Pusan National University,powerelec,2023,1,0.33333
https://openalex.org/I41641357,Ege University,powerelec,2024,1,0.33333
https://openalex.org/I4210097831,Yamato University,powerelec,2024,1,0.33333
https://openalex.org/I4210086811,Islamic Azad University Sari Branch,powerelec,2024,1,0.33333
https://openalex.org/I168879160,Zhejiang University of Science and Technology,powerelec,2024,1,0.33333
https://openalex.org/I123534392,University of North Texas,powerelec,2024,1,0.33333
https://openalex.org/I4210131235,Université Centrale de Tunis,powerelec,2024,1,0.33333
https://openalex.org/I63098007,Liverpool John Moores University,powerelec,2024,1,0.33333
https://openalex.org/I54009628,University of Bayreuth,powerelec,2024,1,0.33333
https://openalex.org/I20529979,University of Electro-Communications,powerelec,2024,1,0.33333
https://openalex.org/I185065464,Veer Surendra Sai University of Technology,powerelec,2025,1,0.33333
https://openalex.org/I4210131147,SRM University,powerelec,2025,1,0.33333
https://openalex.org/I4210133467,Xi'an Aeronautical University,powerelec,2025,1,0.33333
https://openalex.org/I4210115513,Xi’an University,powerelec,2025,1,0.33333
