institution_id,institution_name,area,venue,year,pub_count,adjusted_count
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,tap,2023,0,53.93663
https://openalex.org/I881766915,Nanjing University,flagship,nat-comms,2025,0,53.83256
https://openalex.org/I74973139,Carnegie Mellon University,robotics,icra,2023,0,53.57937
https://openalex.org/I95457486,"University of California, Berkeley",flagship,pnas,2019,0,53.50561
https://openalex.org/I32971472,Yale University,flagship,pnas,2021,0,53.19411
https://openalex.org/I99065089,Tsinghua University,image,cvpr,2022,0,53.17987
https://openalex.org/I95457486,"University of California, Berkeley",flagship,pnas,2021,0,52.92219
https://openalex.org/I205237279,Nankai University,flagship,nat-comms,2025,0,52.59114
https://openalex.org/I40120149,University of Oxford,flagship,nat-comms,2018,0,52.41345
https://openalex.org/I32971472,Yale University,flagship,pnas,2022,0,52.34621
https://openalex.org/I183067930,Shanghai Jiao Tong University,image,cvpr,2025,0,52.34121
https://openalex.org/I20231570,Peking University,sigproc,icassp,2026,0,52.20714
https://openalex.org/I5124864,École Polytechnique Fédérale de Lausanne,flagship,nat-comms,2025,0,52.20575
https://openalex.org/I136199984,Harvard University,flagship,nature,2024,0,51.92143
https://openalex.org/I76569877,Southeast University,comms,twc,2024,0,51.53452
https://openalex.org/I76569877,Southeast University,comms,tcom,2025,0,51.49365
https://openalex.org/I889458895,University of Hong Kong,flagship,nat-comms,2024,0,51.43423
https://openalex.org/I35440088,ETH Zurich,flagship,nat-comms,2020,0,51.36396
https://openalex.org/I241749,University of Cambridge,flagship,nat-comms,2018,0,51.35398
https://openalex.org/I47508984,Imperial College London,flagship,nat-comms,2021,0,51.2934
https://openalex.org/I36258959,University of California San Diego,flagship,nat-comms,2024,0,51.2121
https://openalex.org/I40120149,University of Oxford,flagship,nat-comms,2020,0,51.03288
https://openalex.org/I47508984,Imperial College London,flagship,nat-comms,2023,0,50.89933
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,pnas,2018,0,50.88256
https://openalex.org/I32971472,Yale University,flagship,nat-comms,2022,0,50.81012
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,pnas,2024,0,50.73667
https://openalex.org/I157773358,Sun Yat-sen University,flagship,nat-comms,2022,0,50.64368
https://openalex.org/I76130692,Zhejiang University,image,cvpr,2023,0,50.57926
https://openalex.org/I95457486,"University of California, Berkeley",flagship,pnas,2020,0,50.51729
https://openalex.org/I36258959,University of California San Diego,flagship,pnas,2016,0,50.40832
https://openalex.org/I126520041,University of Science and Technology of China,image,iccv,2025,0,50.21103
https://openalex.org/I136199984,Harvard University,flagship,nature,2022,0,50.19823
https://openalex.org/I63966007,Massachusetts Institute of Technology,flagship,pnas,2016,0,50.05811
https://openalex.org/I126520041,University of Science and Technology of China,image,cvpr,2023,0,50.05489
https://openalex.org/I136199984,Harvard University,flagship,nature,2021,0,50.01577
https://openalex.org/I99065089,Tsinghua University,flagship,nat-comms,2021,0,49.98941
https://openalex.org/I76569877,Southeast University,powerelec,tpel,2025,0,49.98214
